Churn Reason,Churn Value
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Limited range of services,1
Lack of affordable download/upload speed,1
Long distance charges,1
Extra data charges,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Don't know,1
Attitude of service provider,1
Attitude of support person,1
Attitude of support person,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Competitor made better offer,1
Moved,1
Moved,1
Moved,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor made better offer,1
Competitor had better devices,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Don't know,1
Competitor offered more data,1
Competitor made better offer,1
Competitor made better offer,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Limited range of services,1
Lack of affordable download/upload speed,1
Long distance charges,1
Extra data charges,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Don't know,1
Don't know,1
Don't know,1
Poor expertise of online support,1
Poor expertise of phone support,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor made better offer,1
Competitor had better devices,1
Don't know,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor offered more data,1
Competitor offered more data,1
Competitor made better offer,1
Competitor made better offer,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Limited range of services,1
Lack of affordable download/upload speed,1
Long distance charges,1
Extra data charges,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Don't know,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor made better offer,1
Don't know,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor offered more data,1
Competitor offered more data,1
Competitor made better offer,1
Competitor made better offer,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Limited range of services,1
Lack of affordable download/upload speed,1
Long distance charges,1
Extra data charges,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Don't know,1
Attitude of service provider,1
Attitude of support person,1
Attitude of support person,1
Don't know,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Deceased,1
Moved,1
Moved,1
Moved,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor made better offer,1
Competitor had better devices,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor offered more data,1
Competitor offered more data,1
Competitor made better offer,1
Competitor made better offer,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Limited range of services,1
Lack of affordable download/upload speed,1
Long distance charges,1
Extra data charges,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Don't know,1
Don't know,1
Don't know,1
Poor expertise of online support,1
Poor expertise of phone support,1
Attitude of support person,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Attitude of support person,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Attitude of support person,1
Attitude of support person,1
Don't know,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Attitude of support person,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Attitude of support person,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Attitude of support person,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Attitude of support person,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Don't know,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Attitude of support person,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Attitude of support person,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Attitude of support person,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Deceased,1
Moved,1
Moved,1
Moved,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor made better offer,1
Competitor had better devices,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor offered more data,1
Competitor offered more data,1
Competitor made better offer,1
Competitor made better offer,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Limited range of services,1
Lack of affordable download/upload speed,1
Long distance charges,1
Extra data charges,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Don't know,1
Don't know,1
Don't know,1
Poor expertise of online support,1
Poor expertise of phone support,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor made better offer,1
Competitor had better devices,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor offered more data,1
Competitor offered more data,1
Competitor made better offer,1
Competitor made better offer,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Limited range of services,1
Lack of affordable download/upload speed,1
Long distance charges,1
Extra data charges,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Don't know,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor made better offer,1
Competitor had better devices,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor offered more data,1
Competitor offered more data,1
Competitor made better offer,1
Competitor made better offer,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Limited range of services,1
Lack of affordable download/upload speed,1
Long distance charges,1
Extra data charges,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Don't know,1
Attitude of service provider,1
Attitude of support person,1
Attitude of support person,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Competitor made better offer,1
Moved,1
Moved,1
Moved,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor made better offer,1
Competitor had better devices,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Don't know,1
Competitor offered more data,1
Competitor offered more data,1
Competitor made better offer,1
Competitor made better offer,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Limited range of services,1
Lack of affordable download/upload speed,1
Long distance charges,1
Extra data charges,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Don't know,1
Don't know,1
Don't know,1
Poor expertise of online support,1
Poor expertise of phone support,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor made better offer,1
Don't know,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor offered more data,1
Competitor offered more data,1
Competitor made better offer,1
Competitor made better offer,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Limited range of services,1
Lack of affordable download/upload speed,1
Long distance charges,1
Extra data charges,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Don't know,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Don't know,1
Competitor had better devices,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor offered more data,1
Competitor offered more data,1
Competitor made better offer,1
Competitor made better offer,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Limited range of services,1
Lack of affordable download/upload speed,1
Long distance charges,1
Extra data charges,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Don't know,1
Attitude of service provider,1
Attitude of support person,1
Don't know,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Competitor made better offer,1
Moved,1
Moved,1
Moved,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor made better offer,1
Competitor had better devices,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor offered more data,1
Competitor offered more data,1
Competitor made better offer,1
Competitor made better offer,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Limited range of services,1
Lack of affordable download/upload speed,1
Long distance charges,1
Extra data charges,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Don't know,1
Don't know,1
Don't know,1
Poor expertise of online support,1
Poor expertise of phone support,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor made better offer,1
Competitor had better devices,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor offered more data,1
Competitor offered more data,1
Competitor made better offer,1
Don't know,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Limited range of services,1
Lack of affordable download/upload speed,1
Long distance charges,1
Extra data charges,1
Price too high,1
Product dissatisfaction,1
Service dissatisfaction,1
Lack of self-service on Website,1
Network reliability,1
Don't know,1
Attitude of support person,1
Attitude of support person,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Attitude of support person,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Don't know,1
Attitude of support person,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Attitude of support person,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Attitude of support person,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Attitude of support person,1
Attitude of support person,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of service provider,1
Attitude of support person,1
Competitor made better offer,1
Moved,1
Moved,1
Moved,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor made better offer,1
Competitor had better devices,1
Competitor had better devices,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered higher download speeds,1
Competitor offered more data,1
Competitor offered more data,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
